19.1,3.919742621,0.736259253,-1.202170545,-1.202170545,0.182270114,-0.440189817,-0.022346402,-0.165782397,-0.22172314,-0.0318118,-1.104796419,0.861498611
19.2,3.937105882,0.691799668,-1.20220698,-1.20220698,0.165670415,-0.44853674,0.021601572,-0.165803857,-0.207897749,0.015317354,-1.145565756,0.854977036
19.3,3.952973923,0.646619072,-1.199948585,-1.199948585,0.152312359,-0.454706122,0.023555499,-0.162581528,-0.193277357,0.015739546,-1.17675534,0.852600933
19.4,3.967675385,0.600919133,-1.198332707,-1.198332707,0.142266223,-0.459005198,0.008755267,-0.15636951,-0.178248697,-0.000634641,-1.199716727,0.851678449
19.5,3.981533687,0.554870264,-1.19759408,-1.19759408,0.135364524,-0.461756487,0.0060134,-0.147634258,-0.163175117,-0.003313044,-1.215921784,0.759816231
19.6,3.99482383,0.508601248,-1.199076372,-1.199076372,0.130836735,-0.463462221,-0.035661294,-0.137398621,-0.148563339,-0.044656433,-1.226651057,0.728927335
19.7,4.007778055,0.462206767,-1.202258107,-1.202258107,0.128534834,-0.46432889,-0.027974179,-0.125960661,-0.134573674,-0.032503675,-1.232975269,0.718782786
19.8,4.020578849,0.415750274,-1.204549048,-1.204549048,0.127678727,-0.464747431,-0.017844829,-0.114220702,-0.121534847,-0.019123958,-1.236116267,0.700189358
19.9,4.03334608,0.369264562,-1.20561926,-1.20561926,0.127794508,-0.464947895,-0.003559397,-0.10268285,-0.109581827,-0.00292613,-1.237001062,0.665264987
20,4.04615814,0.322761165,-1.206148426,-1.206148426,0.128518288,-0.4651305,-0.007023883,-0.091690785,-0.098806249,-0.006098003,-1.236475651,0.514007962
20.1,4.05905444,0.276235589,-1.202469365,-1.202469365,0.129432719,-0.465405364,0.080605144,-0.081607276,-0.089200488,0.082140824,-1.235312662,0.422900015
20.2,4.072053533,0.229671003,-1.196830216,-1.196830216,0.130528442,-0.465930135,0.032177843,-0.072350826,-0.08080521,0.025499441,-1.234223304,0.143463022
20.3,4.08515128,0.183039075,-1.196444856,-1.196444856,0.131371186,-0.466757839,-0.024470653,-0.064272998,-0.073552393,-0.033698999,-1.233908579,0.048352133
20.4,4.098313339,0.136316689,-1.195937034,-1.195937034,0.131817824,-0.467722344,0.034627106,-0.057399061,-0.067161658,0.028768659,-1.234859352,0.016297864
