x,y,z
4.825300515485470010e-02,1.310143097243830074e-02,-3.810000000000000053e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.820000000000000062e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.830000000000000071e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.840000000000000080e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.849999999999999534e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.860000000000000098e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.870000000000000107e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.879999999999999560e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.890000000000000124e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.899999999999999578e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.909999999999999587e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.920000000000000151e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.929999999999999605e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.940000000000000169e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.949999999999999623e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.959999999999999631e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.970000000000000195e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.979999999999999649e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.989999999999999658e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.999999999999999667e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.009999999999999676e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.019999999999999685e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.029999999999999694e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.039999999999999702e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.049999999999999711e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.059999999999999720e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.069999999999999729e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.079999999999999738e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.089999999999999747e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.099999999999999756e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.109999999999999765e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.119999999999999774e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.129999999999999782e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.139999999999999791e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.149999999999999800e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.159999999999999809e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.169999999999999818e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.179999999999999827e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.189999999999999836e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.199999999999999845e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.209999999999999853e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.219999999999999862e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.229999999999999871e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.239999999999999880e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.249999999999999889e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.259999999999999898e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.269999999999999352e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.279999999999999361e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.289999999999999925e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.299999999999999378e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.309999999999999387e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.319999999999999396e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.329999999999999405e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.339999999999999414e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.349999999999999423e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.359999999999999432e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.369999999999999440e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.379999999999999449e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.389999999999999458e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.399999999999999467e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.409999999999999476e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.419999999999999485e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.429999999999999494e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.439999999999999503e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.449999999999999512e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.459999999999999520e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.469999999999999529e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.479999999999999538e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.489999999999999547e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.499999999999999556e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.509999999999999565e-01
4.825300515485470010e-02,1.310143097243830074e-02,-4.519999999999999574e-01
