index,x,y,z,ray_x,ray_y,ray_z,min_distance
3,-0.007664732,0.108369708,0.103427551,0.499346817,-0.579437876,0.644130814,inf
3,-0.007664732,0.108369708,0.103427551,0.70618304,-0.462061756,0.536474088,inf
3,-0.007664732,0.108369708,0.103427551,0.864894057,-0.313196892,0.39225754,inf
3,-0.007664732,0.108369708,0.103427551,0.964663973,-0.142988177,0.221309288,inf
3,-0.007664732,0.108369708,0.103427551,0.998693633,0.036964946,0.035279175,inf
3,-0.007664732,0.108369708,0.103427551,0.964663973,0.214398969,-0.153155156,inf
3,-0.007664732,0.108369708,0.103427551,0.864894057,0.377222057,-0.331152217,inf
3,-0.007664732,0.108369708,0.103427551,0.70618304,0.514338084,-0.4865818,inf
3,-0.007664732,0.108369708,0.103427551,0.499346817,0.616402822,-0.608851639,inf
3,-0.007664732,0.108369708,0.103427551,0.258480932,0.676460726,-0.689629244,inf
4,-0.010219643,0.144492944,0.137903402,0,0.690418949,-0.723409756,inf
4,-0.010219643,0.144492944,0.137903402,-0.258480932,0.657326261,-0.707891089,inf
4,-0.010219643,0.144492944,0.137903402,-0.499346817,0.579437876,-0.644130814,inf
4,-0.010219643,0.144492944,0.137903402,-0.70618304,0.462061756,-0.536474088,inf
4,-0.010219643,0.144492944,0.137903402,-0.864894057,0.313196892,-0.39225754,inf
4,-0.010219643,0.144492944,0.137903402,-0.964663973,0.142988177,-0.221309288,inf
4,-0.010219643,0.144492944,0.137903402,-0.998693633,-0.036964946,-0.035279175,inf
4,-0.010219643,0.144492944,0.137903402,-0.964663973,-0.214398969,0.153155156,inf
4,-0.010219643,0.144492944,0.137903402,-0.864894057,-0.377222057,0.331152217,inf
4,-0.010219643,0.144492944,0.137903402,-0.70618304,-0.514338084,0.4865818,inf
4,-0.010219643,0.144492944,0.137903402,-0.499346817,-0.616402822,0.608851639,inf
4,-0.010219643,0.144492944,0.137903402,-0.258480932,-0.676460726,0.689629244,inf
4,-0.010219643,0.144492944,0.137903402,-1.22E-16,-0.690418949,0.723409756,inf
4,-0.010219643,0.144492944,0.137903402,0.258480932,-0.657326261,0.707891089,inf
4,-0.010219643,0.144492944,0.137903402,0.499346817,-0.579437876,0.644130814,inf
4,-0.010219643,0.144492944,0.137903402,0.70618304,-0.462061756,0.536474088,inf
4,-0.010219643,0.144492944,0.137903402,0.864894057,-0.313196892,0.39225754,inf
4,-0.010219643,0.144492944,0.137903402,0.964663973,-0.142988177,0.221309288,inf
4,-0.010219643,0.144492944,0.137903402,0.998693633,0.036964946,0.035279175,inf
4,-0.010219643,0.144492944,0.137903402,0.964663973,0.214398969,-0.153155156,inf
4,-0.010219643,0.144492944,0.137903402,0.864894057,0.377222057,-0.331152217,inf
4,-0.010219643,0.144492944,0.137903402,0.70618304,0.514338084,-0.4865818,inf
4,-0.010219643,0.144492944,0.137903402,0.499346817,0.616402822,-0.608851639,inf
4,-0.010219643,0.144492944,0.137903402,0.258480932,0.676460726,-0.689629244,inf
5,-0.012774553,0.180616179,0.172379252,0,0.690418949,-0.723409756,inf
5,-0.012774553,0.180616179,0.172379252,-0.258480932,0.657326261,-0.707891089,inf
5,-0.012774553,0.180616179,0.172379252,-0.499346817,0.579437876,-0.644130814,inf
5,-0.012774553,0.180616179,0.172379252,-0.70618304,0.462061756,-0.536474088,inf
5,-0.012774553,0.180616179,0.172379252,-0.864894057,0.313196892,-0.39225754,inf
5,-0.012774553,0.180616179,0.172379252,-0.964663973,0.142988177,-0.221309288,inf
5,-0.012774553,0.180616179,0.172379252,-0.998693633,-0.036964946,-0.035279175,inf
5,-0.012774553,0.180616179,0.172379252,-0.964663973,-0.214398969,0.153155156,inf
5,-0.012774553,0.180616179,0.172379252,-0.864894057,-0.377222057,0.331152217,inf
5,-0.012774553,0.180616179,0.172379252,-0.70618304,-0.514338084,0.4865818,inf
5,-0.012774553,0.180616179,0.172379252,-0.499346817,-0.616402822,0.608851639,inf
5,-0.012774553,0.180616179,0.172379252,-0.258480932,-0.676460726,0.689629244,inf
5,-0.012774553,0.180616179,0.172379252,-1.22E-16,-0.690418949,0.723409756,inf
5,-0.012774553,0.180616179,0.172379252,0.258480932,-0.657326261,0.707891089,inf
5,-0.012774553,0.180616179,0.172379252,0.499346817,-0.579437876,0.644130814,inf
5,-0.012774553,0.180616179,0.172379252,0.70618304,-0.462061756,0.536474088,inf
5,-0.012774553,0.180616179,0.172379252,0.864894057,-0.313196892,0.39225754,inf
5,-0.012774553,0.180616179,0.172379252,0.964663973,-0.142988177,0.221309288,inf
5,-0.012774553,0.180616179,0.172379252,0.998693633,0.036964946,0.035279175,inf
5,-0.012774553,0.180616179,0.172379252,0.964663973,0.214398969,-0.153155156,inf
5,-0.012774553,0.180616179,0.172379252,0.864894057,0.377222057,-0.331152217,inf
5,-0.012774553,0.180616179,0.172379252,0.70618304,0.514338084,-0.4865818,inf
5,-0.012774553,0.180616179,0.172379252,0.499346817,0.616402822,-0.608851639,inf
